,0,1
0,annual revenue,4.0
1,pay-tv,4.0
2,mid-90s,4.0
3,watch television,4.0
4,sights set,4.0
5,boundless energy,4.0
6,campaign strategy,4.0
7,campaign test,4.0
8,post-campaign,4.0
9,marketing reports,4.0
10,logistic regression,4.0
11,neural nets,4.0
12,similar platforms,4.0
13,advanced modeling,3.666666666666667
14,mining methodologies,3.666666666666667
15,summary dish,3.5
16,clustering sql,3.5
17,mining/predictive,3.3333333333333335
18,predictive modeling,3.3333333333333335
19,customer profiling,3.0
20,modeling,1.6666666666666667
21,predictive,1.6666666666666667
22,mining,1.6666666666666667
23,dish,1.5
24,sql,1.5
25,profiling,1.5
26,customer-,1.5
27,fortune 200,1.0
28,$15 billion,1.0
29,continues,1.0
30,redefine,1.0
31,communications,1.0
32,legacy,1.0
33,willingness,1.0
34,challenge,1.0
35,quo,1.0
36,reinventing,1.0
37,disrupted,1.0
38,launch,1.0
39,taking,1.0
40,largest,1.0
41,corporations,1.0
42,grew,1.0
43,consumers,1.0
44,upending,1.0
45,wireless,1.0
46,unseating,1.0
47,driven,1.0
48,curiosity,1.0
49,pride,1.0
50,adventure,1.0
51,win,1.0
52,dna,1.0
53,intelligence,1.0
54,overwhelming,1.0
55,embark,1.0
56,chapter,1.0
57,story,1.0
58,primary,1.0
59,fall,1.0
60,categories,1.0
61,sas,1.0
62,assessment,1.0
63,sets,1.0
64,statistical,1.0
65,algorithms,1.0
66,segmentation,1.0
67,forecasting,1.0
68,optimization,1.0
69,potential,1.0
70,measurement,1.0
71,selects,1.0
72,provide,1.0
73,affinity,1.0
74,implement,1.0
75,programs,1.0
76,bachelor,1.0
77,four-,1.0
78,college,1.0
79,database,1.0
80,oracle,1.0
81,teradata,1.0
82,non-,1.0
83,/,0.0
84,providing best-in-class,16.0
85,linear/non-linear/integer,13.166666666666668
86,generalized linear,5.333333333333334
87,annual revenue,4.0
88,pay-tv,4.0
89,mid-90s,4.0
90,watch television,4.0
91,sights set,4.0
92,boundless energy,4.0
93,campaign strategy,4.0
94,campaign test,4.0
95,post-campaign,4.0
96,neural nets,4.0
97,similar platforms,4.0
98,removing obstacles,4.0
99,tackle complex,4.0
100,maturity curve,4.0
101,deliver comprehensive,4.0
102,guide junior,4.0
103,recently established,4.0
104,strategic decisions,4.0
105,highly talented,4.0
106,cross-disciplinary,4.0
107,dynamic environment,4.0
108,international businesses,4.0
109,execute challenging,4.0
110,servicing decisions,4.0
111,thought leader,4.0
112,cutting edge,4.0
113,investment success,4.0
114,channel usage,4.0
115,servicing initiatives,4.0
116,careers overview,4.0
117,machine learning,4.0
118,relevant scientific,4.0
119,relevant professional,4.0
120,decision trees,4.0
121,cart/chaid,4.0
122,random forests,4.0
123,time-series,4.0
124,manipulating large,4.0
125,innovative analytical,3.75
126,quantitative/analytical,3.75
127,mining methodologies,3.666666666666667
128,marketing reports,3.6
129,supporting marketing,3.6
130,marketing treatments,3.6
131,summary dish,3.5
132,logistic regression,3.5
133,clustering sql,3.5
134,market researchers,3.5
135,vanguards retail,3.5
136,solve complex,3.5
137,building descriptive,3.5
138,investors meeting,3.333333333333333
139,messiest problems,3.333333333333333
140,cai hosts,3.333333333333333
141,deep learning,3.333333333333333
142,enterprise center,3.25
143,analytical problem,3.25
144,mining/predictive,3.166666666666667
145,predictive modeling,3.166666666666667
146,customer profiling,3.0
147,advanced modeling,2.916666666666667
148,non-,2.5
149,analytical,1.75
150,modeling,1.6666666666666667
151,mining,1.6666666666666667
152,marketing,1.6
153,dish,1.5
154,sql,1.5
155,profiling,1.5
156,predictive,1.5
157,customer-,1.5
158,solve,1.5
159,market,1.5
160,vanguards,1.5
161,problem,1.5
162,building,1.5
163,regression,1.5
164,cai,1.3333333333333333
165,investors,1.3333333333333333
166,deep,1.3333333333333333
167,problems,1.3333333333333333
168,center,1.25
169,advanced,1.25
170,fortune 200,1.0
171,$15 billion,1.0
172,continues,1.0
173,redefine,1.0
174,communications,1.0
175,legacy,1.0
176,willingness,1.0
177,challenge,1.0
178,quo,1.0
179,reinventing,1.0
180,disrupted,1.0
181,launch,1.0
182,taking,1.0
183,largest,1.0
184,corporations,1.0
185,grew,1.0
186,consumers,1.0
187,upending,1.0
188,wireless,1.0
189,unseating,1.0
190,driven,1.0
191,curiosity,1.0
192,pride,1.0
193,adventure,1.0
194,win,1.0
195,dna,1.0
196,intelligence,1.0
197,overwhelming,1.0
198,embark,1.0
199,chapter,1.0
200,story,1.0
201,primary,1.0
202,fall,1.0
203,categories,1.0
204,sas,1.0
205,assessment,1.0
206,sets,1.0
207,statistical,1.0
208,algorithms,1.0
209,segmentation,1.0
210,forecasting,1.0
211,optimization,1.0
212,potential,1.0
213,measurement,1.0
214,selects,1.0
215,provide,1.0
216,affinity,1.0
217,implement,1.0
218,programs,1.0
219,bachelor,1.0
220,four-,1.0
221,college,1.0
222,database,1.0
223,oracle,1.0
224,teradata,1.0
225,forty,1.0
226,vanguard,1.0
227,special,1.0
228,change,1.0
229,invests,1.0
230,belief,1.0
231,stand,1.0
232,goals,1.0
233,dedicated,1.0
234,difficult,1.0
235,cais,1.0
236,approaches,1.0
237,hub,1.0
238,enable,1.0
239,entire,1.0
240,continuously,1.0
241,capabilities,1.0
242,youll,1.0
243,engagements,1.0
244,efforts,1.0
245,deepen,1.0
246,holistic,1.0
247,actionable,1.0
248,leaders,1.0
249,consulting,1.0
250,ongoing,1.0
251,resources,1.0
252,constraints,1.0
253,coach,1.0
254,mentor,1.0
255,excel,1.0
256,advance,1.0
257,transform,1.0
258,analysts,1.0
259,consultants,1.0
260,closely,1.0
261,partner,1.0
262,institutional,1.0
263,intermediary,1.0
264,transformation,1.0
265,expected,1.0
266,behavior,1.0
267,innovate,1.0
268,establish,1.0
269,specifically,1.0
270,formulate,1.0
271,obtain,1.0
272,investigate,1.0
273,curate,1.0
274,give,1.0
275,chance,1.0
276,preferences,1.0
277,diagnosing,1.0
278,targeting,1.0
279,measuring,1.0
280,impact,1.0
281,partners,1.0
282,seek,1.0
283,guidance,1.0
284,interpretation,1.0
285,implications,1.0
286,graduate,1.0
287,mathematics,1.0
288,statistics,1.0
289,economics,1.0
290,operations,1.0
291,phd,1.0
292,cnn,1.0
293,rnn,1.0
294,lstm,1.0
295,svm,1.0
296,gbm,1.0
297,demonstrated,1.0
298,generating,1.0
299,managing,1.0
300,formulating,1.0
301,extracting,1.0
302,cleansing,1.0
303,diverse,1.0
304,prescriptive,1.0
305,deploying,1.0
306,cloud,1.0
307,premise,1.0
308,relationships,1.0
309,impacts,1.0
310,multiple,1.0
311,superior,1.0
312,visualization,1.0
313,storytelling,1.0
314,strong,1.0
315,python,1.0
316,spark,1.0
317,scala,1.0
318,pyspark,1.0
319,d3,1.0
320,js,1.0
321,tableau,1.0
322,/,0.0
323,&,0.0
324,providing best-in-class,16.0
325,linear/non-linear/integer,13.166666666666668
326,generalized linear,5.333333333333334
327,annual revenue,4.0
328,pay-tv,4.0
329,mid-90s,4.0
330,watch television,4.0
331,sights set,4.0
332,boundless energy,4.0
333,campaign strategy,4.0
334,campaign test,4.0
335,post-campaign,4.0
336,neural nets,4.0
337,similar platforms,4.0
338,removing obstacles,4.0
339,maturity curve,4.0
340,deliver comprehensive,4.0
341,guide junior,4.0
342,recently established,4.0
343,highly talented,4.0
344,cross-disciplinary,4.0
345,dynamic environment,4.0
346,international businesses,4.0
347,execute challenging,4.0
348,thought leader,4.0
349,cutting edge,4.0
350,investment success,4.0
351,channel usage,4.0
352,servicing initiatives,4.0
353,careers overview,4.0
354,machine learning,4.0
355,relevant scientific,4.0
356,relevant professional,4.0
357,decision trees,4.0
358,cart/chaid,4.0
359,random forests,4.0
360,time-series,4.0
361,manipulating large,4.0
362,large pool,4.0
363,fighting fraud,4.0
364,loss rates,4.0
365,large volumes,4.0
366,fraud detection,4.0
367,fraud attacks,4.0
368,ambiguous situations,4.0
369,applied math,4.0
370,neural networks,4.0
371,innovative analytical,3.8
372,mining methodologies,3.75
373,strategic decisions,3.75
374,servicing decisions,3.75
375,making decisions,3.75
376,strong background,3.75
377,tackle complex,3.666666666666667
378,sas/base,3.666666666666667
379,sas/stats,3.666666666666667
380,marketing reports,3.6
381,supporting marketing,3.6
382,marketing treatments,3.6
383,strong analytical,3.55
384,summary dish,3.5
385,messiest problems,3.5
386,market researchers,3.5
387,vanguards retail,3.5
388,building descriptive,3.5
389,strategic goals,3.5
390,fraud patterns,3.5
391,taking initiatives,3.5
392,solving problems,3.5
393,mining strong,3.5
394,statistical programing,3.5
395,cloud computing,3.5
396,mining/predictive,3.35
397,predictive modeling,3.35
398,logistic regression,3.333333333333333
399,investors meeting,3.333333333333333
400,cai hosts,3.333333333333333
401,deep learning,3.333333333333333
402,consumer behavior,3.333333333333333
403,quantitative/analytical,3.3
404,analytical problem,3.3
405,enterprise center,3.25
406,statistical modeling,3.25
407,solve complex,3.166666666666667
408,implement predictive,3.1
409,customer profiling,3.0
410,advanced modeling,3.0
411,clustering sql,2.833333333333333
412,non-,2.5
413,analytical,1.8
414,modeling,1.75
415,mining,1.75
416,strong,1.75
417,decisions,1.75
418,sas,1.6666666666666667
419,complex,1.6666666666666667
420,predictive,1.6
421,marketing,1.6
422,taking,1.5
423,dish,1.5
424,profiling,1.5
425,statistical,1.5
426,customer-,1.5
427,implement,1.5
428,goals,1.5
429,solve,1.5
430,market,1.5
431,vanguards,1.5
432,problem,1.5
433,problems,1.5
434,building,1.5
435,cloud,1.5
436,patterns,1.5
437,quantitative,1.5
438,clustering,1.5
439,sql,1.3333333333333333
440,cai,1.3333333333333333
441,investors,1.3333333333333333
442,deep,1.3333333333333333
443,behavior,1.3333333333333333
444,regression,1.3333333333333333
445,center,1.25
446,advanced,1.25
447,fortune 200,1.0
448,$15 billion,1.0
449,continues,1.0
450,redefine,1.0
451,communications,1.0
452,legacy,1.0
453,willingness,1.0
454,challenge,1.0
455,quo,1.0
456,reinventing,1.0
457,disrupted,1.0
458,launch,1.0
459,largest,1.0
460,corporations,1.0
461,grew,1.0
462,consumers,1.0
463,upending,1.0
464,wireless,1.0
465,unseating,1.0
466,driven,1.0
467,curiosity,1.0
468,pride,1.0
469,adventure,1.0
470,win,1.0
471,dna,1.0
472,intelligence,1.0
473,overwhelming,1.0
474,embark,1.0
475,chapter,1.0
476,story,1.0
477,primary,1.0
478,fall,1.0
479,categories,1.0
480,assessment,1.0
481,sets,1.0
482,algorithms,1.0
483,segmentation,1.0
484,forecasting,1.0
485,optimization,1.0
486,potential,1.0
487,measurement,1.0
488,selects,1.0
489,provide,1.0
490,affinity,1.0
491,programs,1.0
492,bachelor,1.0
493,four-,1.0
494,college,1.0
495,database,1.0
496,oracle,1.0
497,teradata,1.0
498,forty,1.0
499,vanguard,1.0
500,special,1.0
501,change,1.0
502,invests,1.0
503,belief,1.0
504,stand,1.0
505,dedicated,1.0
506,difficult,1.0
507,cais,1.0
508,approaches,1.0
509,hub,1.0
510,enable,1.0
511,entire,1.0
512,continuously,1.0
513,capabilities,1.0
514,youll,1.0
515,engagements,1.0
516,efforts,1.0
517,deepen,1.0
518,holistic,1.0
519,actionable,1.0
520,leaders,1.0
521,consulting,1.0
522,ongoing,1.0
523,resources,1.0
524,constraints,1.0
525,coach,1.0
526,mentor,1.0
527,excel,1.0
528,advance,1.0
529,transform,1.0
530,analysts,1.0
531,consultants,1.0
532,closely,1.0
533,partner,1.0
534,institutional,1.0
535,intermediary,1.0
536,transformation,1.0
537,expected,1.0
538,innovate,1.0
539,establish,1.0
540,specifically,1.0
541,formulate,1.0
542,obtain,1.0
543,investigate,1.0
544,curate,1.0
545,give,1.0
546,chance,1.0
547,preferences,1.0
548,diagnosing,1.0
549,targeting,1.0
550,measuring,1.0
551,impact,1.0
552,partners,1.0
553,seek,1.0
554,guidance,1.0
555,interpretation,1.0
556,implications,1.0
557,graduate,1.0
558,mathematics,1.0
559,statistics,1.0
560,economics,1.0
561,operations,1.0
562,phd,1.0
563,cnn,1.0
564,rnn,1.0
565,lstm,1.0
566,svm,1.0
567,gbm,1.0
568,demonstrated,1.0
569,generating,1.0
570,managing,1.0
571,formulating,1.0
572,extracting,1.0
573,cleansing,1.0
574,diverse,1.0
575,prescriptive,1.0
576,deploying,1.0
577,premise,1.0
578,relationships,1.0
579,impacts,1.0
580,multiple,1.0
581,superior,1.0
582,visualization,1.0
583,storytelling,1.0
584,python,1.0
585,spark,1.0
586,scala,1.0
587,pyspark,1.0
588,d3,1.0
589,js,1.0
590,tableau,1.0
591,legitimate,1.0
592,leveraging,1.0
593,rules,1.0
594,real-,1.0
595,succeed,1.0
596,demonstrate,1.0
597,leverage,1.0
598,discover,1.0
599,operational,1.0
600,passionate,1.0
601,good,1.0
602,fraudulent,1.0
603,eventually,1.0
604,newly,1.0
605,determine,1.0
606,actions,1.0
607,combat,1.0
608,capable,1.0
609,identifying,1.0
610,experiences,1.0
611,warehouse,1.0
612,prevention,1.0
613,familiarity,1.0
614,aws,1.0
615,/,0.0
616,&,0.0
617,providing best-in-class,16.0
618,linear/non-linear/integer,13.166666666666668
619,agronomy/plant sciences,9.0
620,good decision-making,6.833333333333334
621,provide data-driven,6.333333333333334
622,generalized linear,5.333333333333334
623,decision trees,4.333333333333334
624,making decisions,4.25
625,annual revenue,4.0
626,pay-tv,4.0
627,mid-90s,4.0
628,watch television,4.0
629,sights set,4.0
630,boundless energy,4.0
631,campaign strategy,4.0
632,campaign test,4.0
633,post-campaign,4.0
634,neural nets,4.0
635,similar platforms,4.0
636,removing obstacles,4.0
637,maturity curve,4.0
638,deliver comprehensive,4.0
639,guide junior,4.0
640,recently established,4.0
641,highly talented,4.0
642,cross-disciplinary,4.0
643,dynamic environment,4.0
644,international businesses,4.0
645,execute challenging,4.0
646,thought leader,4.0
647,cutting edge,4.0
648,investment success,4.0
649,channel usage,4.0
650,servicing initiatives,4.0
651,careers overview,4.0
652,machine learning,4.0
653,relevant scientific,4.0
654,relevant professional,4.0
655,cart/chaid,4.0
656,random forests,4.0
657,time-series,4.0
658,fighting fraud,4.0
659,loss rates,4.0
660,fraud detection,4.0
661,fraud attacks,4.0
662,ambiguous situations,4.0
663,applied math,4.0
664,neural networks,4.0
665,simulate interactions,4.0
666,geo-informatics,4.0
667,rapidly learn,4.0
668,remote sensing,4.0
669,simulation modeling,3.833333333333333
670,modeling crop,3.833333333333333
671,innovative analytical,3.8
672,strategic decisions,3.75
673,servicing decisions,3.75
674,manipulating large,3.75
675,large pool,3.75
676,large volumes,3.75
677,strong background,3.75
678,tackle complex,3.666666666666667
679,sas/base,3.666666666666667
680,sas/stats,3.666666666666667
681,cloud computing,3.666666666666667
682,problem domains,3.666666666666667
683,marketing reports,3.6
684,mining methodologies,3.6
685,supporting marketing,3.6
686,marketing treatments,3.6
687,statistical programing,3.6
688,strong analytical,3.55
