,0,1
0,problem-solving teams,9.0
1,e-commerce,4.0
2,seattle location,4.0
3,driven environment,4.0
4,challenging problems,4.0
5,continuous improvements,4.0
6,outcomes researching,4.0
7,completeness coordinating,4.0
8,discipline excellent,4.0
9,timely decisions,4.0
10,hand proven,4.0
11,influence peers,4.0
12,facilitate agreement,4.0
13,oracle ebs,4.0
14,strong written,4.0
15,verbal communication,4.0
16,internet-speed,4.0
17,environment proven,4.0
18,greater seattle,4.0
19,primarily deal,4.0
20,agile plm,3.666666666666667
21,plm system,3.666666666666667
22,configuration management,3.571428571428571
23,lifecycle management,3.571428571428571
24,systematic issues,3.5
25,system administration,3.5
26,change notices,3.5
27,agile analyst,3.5
28,contract-to-,3.5
29,manufacturing plans,3.333333333333333
30,plm,1.6666666666666667
31,management,1.5714285714285714
32,analyst,1.5
33,change,1.5
34,administration,1.5
35,issues,1.5
36,contract,1.5
37,manufacturing,1.3333333333333333
38,description,1.0
39,fro,1.0
40,************************************************************************************** title,1.0
41,duration,1.0
42,extensions,1.0
43,conversion,1.0
44,center,1.0
45,cycle,1.0
46,infrastructure,1.0
47,responsive,1.0
48,flexible,1.0
49,succeed,1.0
50,motivated,1.0
51,long,1.0
52,implement,1.0
53,participates,1.0
54,coordination,1.0
55,relative,1.0
56,closely,1.0
57,configurations,1.0
58,configure,1.0
59,adherence,1.0
60,customizations,1.0
61,facilitating,1.0
62,leading,1.0
63,mapping,1.0
64,collection,1.0
65,learning,1.0
66,releases,1.0
67,maintenance,1.0
68,driving,1.0
69,enhance,1.0
70,verifying,1.0
71,content,1.0
72,evaluating,1.0
73,cohesiveness,1.0
74,ensures,1.0
75,customer,1.0
76,implemented,1.0
77,advocate,1.0
78,users,1.0
79,troubleshooting,1.0
80,bachelor,1.0
81,/industrial,1.0
82,organizational,1.0
83,interests,1.0
84,drawings,1.0
85,specifications,1.0
86,demonstrated,1.0
87,sql,1.0
88,extract,1.0
89,complex,1.0
90,player,1.0
91,diverse,1.0
92,ambiguous,1.0
93,positions,1.0
94,things,1.0
95,pride,1.0
96,sourcing,1.0
97,ready,1.0
98,companies,1.0
99,vendors,1.0
100,microsoft,1.0
101,amazon,1.0
102,times,1.0
103,hear,1.0
104,feel,1.0
105,resumes,1.0
106,void,1.0
107,contacted,1.0
108,foot,1.0
109,door,1.0
110,29666,0.0
111,/,0.0
112,problem-solving teams,8.0
113,short/long term,8.0
114,e-commerce,4.0
115,challenging problems,4.0
116,continuous improvements,4.0
117,completeness coordinating,4.0
118,discipline excellent,4.0
119,timely decisions,4.0
120,hand proven,4.0
121,influence peers,4.0
122,facilitate agreement,4.0
123,oracle ebs,4.0
124,strong written,4.0
125,verbal communication,4.0
126,internet-speed,4.0
127,greater seattle,4.0
128,primarily deal,4.0
129,cell phones,4.0
130,cost-effectively,4.0
131,ensuring trusted,4.0
132,company-wide,4.0
133,strategic partner,4.0
134,ad-hoc,4.0
135,automation tool,4.0
136,relational databases,4.0
137,developed project,4.0
138,• self-starter,4.0
139,competing deadlines,4.0
140,healthy work-,4.0
141,basketball courts,4.0
142,sand volleyball,4.0
143,agile plm,3.75
144,environment proven,3.666666666666667
145,mentor graphics,3.666666666666667
146,complex electronics,3.666666666666667
147,increasingly complex,3.666666666666667
148,strong financial,3.666666666666667
149,systematic issues,3.5
150,change notices,3.5
151,outcomes researching,3.5
152,contract-to-,3.5
153,enable companies,3.5
154,interpret sql,3.5
155,customer focused,3.5
156,prioritizes multiple,3.5
157,plm system,3.416666666666667
158,configuration management,3.4
159,lifecycle management,3.4
160,seattle location,3.333333333333333
161,manufacturing plans,3.333333333333333
162,wilsonville site,3.333333333333333
163,agile analyst,3.25
164,siemens plm,3.25
165,driven environment,3.166666666666667
166,system administration,3.166666666666667
167,finance mentor,2.9523809523809526
168,financial performance,2.916666666666667
169,category finance,2.7857142857142856
170,long,2.0
171,teams,2.0
172,plm,1.75
173,complex,1.6666666666666667
174,system,1.6666666666666667
175,financial,1.6666666666666667
176,mentor,1.6666666666666667
177,environment,1.6666666666666667
178,change,1.5
179,administration,1.5
180,customer,1.5
181,issues,1.5
182,sql,1.5
183,contract,1.5
184,companies,1.5
185,category,1.5
186,siemens,1.5
187,multiple,1.5
188,researching,1.5
189,driven,1.5
190,management,1.4
191,manufacturing,1.3333333333333333
192,location,1.3333333333333333
193,wilsonville,1.3333333333333333
194,finance,1.2857142857142858
195,analyst,1.25
196,performance,1.25
197,description,1.0
198,fro,1.0
199,************************************************************************************** title,1.0
200,duration,1.0
201,extensions,1.0
202,conversion,1.0
203,center,1.0
204,cycle,1.0
205,infrastructure,1.0
206,responsive,1.0
207,flexible,1.0
208,succeed,1.0
209,motivated,1.0
210,implement,1.0
211,participates,1.0
212,coordination,1.0
213,relative,1.0
214,closely,1.0
215,configurations,1.0
216,configure,1.0
217,adherence,1.0
218,customizations,1.0
219,facilitating,1.0
220,leading,1.0
221,mapping,1.0
222,collection,1.0
223,learning,1.0
224,releases,1.0
225,maintenance,1.0
226,driving,1.0
227,enhance,1.0
228,verifying,1.0
229,content,1.0
230,evaluating,1.0
231,cohesiveness,1.0
232,ensures,1.0
233,implemented,1.0
234,advocate,1.0
235,users,1.0
236,troubleshooting,1.0
237,bachelor,1.0
238,/industrial,1.0
239,organizational,1.0
240,interests,1.0
241,drawings,1.0
242,specifications,1.0
243,demonstrated,1.0
244,extract,1.0
245,player,1.0
246,diverse,1.0
247,ambiguous,1.0
248,positions,1.0
249,things,1.0
250,pride,1.0
251,sourcing,1.0
252,ready,1.0
253,vendors,1.0
254,microsoft,1.0
255,amazon,1.0
256,times,1.0
257,hear,1.0
258,feel,1.0
259,resumes,1.0
260,void,1.0
261,contacted,1.0
262,foot,1.0
263,door,1.0
264,title,1.0
265,usa,1.0
266,contributing,1.0
267,creation,1.0
268,airplanes,1.0
269,faster,1.0
270,push,1.0
271,boundaries,1.0
272,deliver,1.0
273,chip,1.0
274,board,1.0
275,founded,1.0
276,headquartered,1.0
277,portland,1.0
278,sr,1.0
279,manager,1.0
280,unit,1.0
281,structures,1.0
282,dashboards,1.0
283,managing,1.0
284,assets,1.0
285,serves,1.0
286,profitability,1.0
287,providing,1.0
288,insight,1.0
289,key,1.0
290,global,1.0
291,involving,1.0
292,aspects,1.0
293,reports,1.0
294,mitigate,1.0
295,risks,1.0
296,monitoring,1.0
297,dashboards •,1.0
298,major,1.0
299,impact,1.0
300,monthly,1.0
301,capabilities,1.0
302,enhancements,1.0
303,• enhance,1.0
304,materials,1.0
305,evangelize,1.0
306,functional,1.0
307,units •,1.0
308,visualization,1.0
309,qlikview,1.0
310,tableau,1.0
311,alteryx,1.0
312,metadata,1.0
313,reference,1.0
314,write,1.0
315,read,1.0
316,report,1.0
317,dashboard,1.0
318,hierarchical,1.0
319,enterprise,1.0
320,flows,1.0
321,erp,1.0
322,crm,1.0
323,hr,1.0
324,marketing,1.0
325,collecting,1.0
326,analyzing,1.0
327,detailed,1.0
328,transactional,1.0
329,efficient,1.0
330,intersections,1.0
331,bs,1.0
332,accounting,1.0
333,similar,1.0
334,relevant,1.0
335,fostering,1.0
336,promotes,1.0
337,balance,1.0
338,class,1.0
339,reimbursement,1.0
340,insurance,1.0
341,generous,1.0
342,plan,1.0
343,onsite,1.0
344,child,1.0
345,expression,1.0
346,29666,0.0
347,/,0.0
348,8777,0.0
349,1981,0.0
350,•,0.0
351,• 2-5+,0.0
352,neuroscience-based assessments,9.0
353,short/long term,8.0
354,problem-solving teams,7.5
355,solving problems,4.5
356,e-commerce,4.0
357,challenging problems,4.0
358,continuous improvements,4.0
359,completeness coordinating,4.0
360,discipline excellent,4.0
361,timely decisions,4.0
362,hand proven,4.0
363,influence peers,4.0
364,facilitate agreement,4.0
365,oracle ebs,4.0
366,strong written,4.0
367,verbal communication,4.0
368,internet-speed,4.0
369,greater seattle,4.0
370,primarily deal,4.0
371,cell phones,4.0
